Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Organism Part],Term Source 2 REF,Term Source 2 Accession,Characteristics [Strain],Reporter,Comment [Reporter],Experimental Condition [Genotype],Characteristics [Mouse Age],Image Description,Image File,Channels,Channels,Channels
Brain,Whole Brain,Mus Musculus,NCBITaxon,NCBITaxon_10090,Brain,UBERON,UBERON_0000955,SWR/J,CAG-Cytbow,"Random expression of mTurquoise, mEYFP and tdTomato",Tg/+,P29,Transgenic mouse brain imaged at P29,WB.xml,Red: Brainbow red, Green: Brainbow green, Blue: Brainbow blue
Brain,Astrocytes,Mus Musculus,NCBITaxon,NCBITaxon_10090,Brain,UBERON,UBERON_0000955,SWR/J,CAG-Cytbow,"Random expression of mTurquoise, mEYFP and tdTomato",Tg/+,P65,Electroporated mouse brain (E15) imaged at P65,astroP65.h5,Red: Brainbow red, Green: Brainbow green, Blue: Brainbow blue
